dataset,seed,fold,kappa,input_cmn,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
ravdess,43,1,0.0,False,0.0,0.0,31,165.4,0.44375,0.3962720328703694,0.4433333333333333,0.2657161844362177,-0.0943304415893151,2.321928094887362,0.1584973313272044,-0.0814665970048951,2.321928094887362,1.0062649547681497,-0.0727655338881536,2.321928094887362,0.6760238673481822,-0.072948832264994,2.321928094887362,1.5815667533296025,-1.1751556718944416,2.321928094887362,1.2178673342119763,-0.2760475390775037,2.321928094887362,0.3933333333333333,0.2416666666666666
ravdess,43,1,0.5,False,0.175,0.025,34,165.2,0.41875,0.363303995030785,0.4166666666666667,0.3554491939935311,-0.0991330017209777,2.321928094887362,0.1356666174837064,-0.0902772048431588,2.321928094887362,0.9203009222939056,-0.0633404786591089,2.321928094887362,0.6737167808925195,-0.0423393834360297,2.321928094887362,1.538268205694845,-0.8695133410466371,2.321928094887362,1.1020428264633806,-0.2714587308304232,2.321928094887362,0.3711111111111111,0.2138888888888888
ravdess,43,1,1.0,False,0.35,0.05,20,125.8,0.371875,0.3168995491204229,0.3966666666666666,0.2319255049364024,-0.0999421429022158,2.321928094887362,0.1186092582454088,-0.0770818732594134,2.321928094887362,0.8112362809974929,-0.0899041813192198,2.321928094887362,0.463639550379338,-0.0467544614564663,2.321928094887362,1.389746858638635,-0.881006084648345,2.321928094887362,0.9079656555870188,-0.2815357014810953,2.321928094887362,0.3844444444444445,0.2305555555555555
ravdess,43,1,2.0,False,0.7,0.1,34,168.1,0.328125,0.2636232525618943,0.35,0.2272362065484268,-0.0586662385273855,2.321928094887362,0.0653593495938462,-0.0869761909227349,2.321928094887362,0.9091126555210418,-0.0641492139622941,2.321928094887362,0.551805934777837,-0.0489750857785109,2.321928094887362,1.500563840788618,-1.0944362460456083,2.321928094887362,1.1308635228887174,-0.3400614000780582,2.321928094887362,0.4066666666666666,0.2583333333333332
ravdess,43,1,4.0,False,1.4,0.2,11,89.0,0.2625,0.2007646307525366,0.28,0.2861856274400187,-0.1049923207984395,2.321928094887362,0.1016092010233835,-0.0816238579976191,2.321928094887362,0.3869192375790942,-0.0790429041006448,2.321928094887362,0.1700172911294633,-0.0503284078269432,2.321928094887362,1.228170154217893,-0.484599018664329,2.321928094887362,0.7375888192989768,-0.2971534724033318,2.321928094887362,0.3888888888888889,0.2361111111111111
ravdess,43,1,8.0,False,2.8,0.4,26,152.3,0.284375,0.2149549837283378,0.3,0.4009656292960433,-0.0776330977299775,2.321928094887362,0.0615787911029785,-0.1141055386293969,2.321928094887362,0.6484082996951925,-0.0314002099464802,2.321928094887362,0.4053192073549521,-0.0575114204546576,2.321928094887362,1.2889245947805528,-0.8136295138350427,2.321928094887362,0.8078258379049164,-0.2961188982394893,2.321928094887362,0.3688888888888889,0.2111111111111111
ravdess,43,1,16.0,False,5.6,0.8,4,58.3,0.1687499999999999,0.0853589325131552,0.18,0.4615884722114747,-0.0235445306018453,2.321928094887362,0.1911844156213318,-0.0660705636617966,2.321928094887362,0.5714129496670763,-0.0331784834715636,2.321928094887362,0.3344490497077763,-0.0337248710570623,2.321928094887362,1.4388200753541145,-0.4038839021689884,2.321928094887362,0.6487269046971023,-0.1861341022060094,2.321928094887362,0.3622222222222222,0.2027777777777777
ravdess,43,2,0.0,False,0.0,0.0,16,109.2,0.371875,0.312297722242423,0.3666666666666666,0.4520615464809776,-0.0299091147189645,2.321928094887362,0.4137960510639928,-0.0331793144327465,2.321928094887362,1.2951292286415006,-0.0638188962132662,2.321928094887362,0.7483630384690314,-0.0385449599852094,2.321928094887362,1.9879645780640796,-0.5732231854110541,2.321928094887362,1.6139411513453767,-0.2923919936783963,2.321928094887362,0.48,0.3499999999999999
ravdess,43,2,0.5,False,0.175,0.025,33,165.9,0.4656249999999999,0.41371772837823,0.4633333333333333,0.4025541840051074,-0.0420544580477657,2.321928094887362,0.2042314167794292,-0.0381944404708449,2.321928094887362,1.3136110394751717,-0.0620600083948508,2.321928094887362,0.9799490799543976,-0.036912382414151,2.321928094887362,1.9976298451909096,-0.8954042611739523,2.321928094887362,1.7021399563722814,-0.271947334754806,2.321928094887362,0.3688888888888889,0.211111111111111
ravdess,43,2,1.0,False,0.35,0.05,37,168.3,0.440625,0.3964405162976174,0.4366666666666666,0.3357631387138149,-0.0050972451911563,2.321928094887362,0.1503931122433828,-0.0198479219817264,2.321928094887362,1.2700097932647945,-0.049019831711246,2.321928094887362,0.6845809466057791,-0.0780003678384635,2.321928094887362,1.9312262091304264,-0.8586779942618801,2.321928094887362,1.690979629520011,-0.3646649773205523,2.321928094887362,0.4111111111111111,0.2638888888888888
