dataset,seed,fold,kappa,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index
cremad,42,4,16.0,5.6,0.8,5,484.4,0.3918443282381335,0.3247249806082417,0.3880983182406209,0.1457706368099343,-0.032752947803023,4.247550686408009,0.0651091300386275,-0.0293243709606541,4.247550686408009,0.4000808162429976,-0.0585779466637683,4.247550686408009,0.305508551151775,-0.0264739805147788,4.247550686408009,1.8744313896437168,-0.5329757394128087,4.247550686408009,1.358044935845403,-0.1572760901422594,4.247550686408009,0.0909482758620689,0.0404454022988505
cremad,42,5,0.0,0.0,0.0,25,1113.3,0.55939961085889,0.5509828694424456,0.5551020408163265,0.352777541119377,-0.0507551842683335,4.169716095873848,0.3225633077388474,-0.0331164450430545,4.169716095873848,1.6413816273654716,-0.0441212720625703,4.169716095873848,1.5228776789618317,-0.030154876112971,4.169716095873848,2.7887111103439453,-1.666486097485107,4.169716095873848,2.734356007509694,-0.3036000629500641,4.169716095873848,0.1469387755102041,0.0967587034813925
cremad,42,5,0.5,0.175,0.025,31,1275.7,0.5747799499675715,0.5687517384310657,0.5714285714285714,0.4363399743071561,-0.0373422435646135,4.169716095873848,0.2910805850831162,-0.0206214724778233,4.169716095873848,2.1933287000578137,-0.0469829281781075,4.169716095873848,2.1280581851098215,-0.0552841959727663,4.169716095873848,3.188445073696057,-1.8474146894854584,4.169716095873848,3.086162005756737,-0.342796293723234,4.169716095873848,0.1741496598639456,0.1255702280912365
cremad,42,5,1.0,0.35,0.05,38,1277.8,0.5664720961116773,0.5659902515785027,0.564625850340136,0.3097983953944365,-0.0387410308845748,4.169716095873848,0.2945899306459649,-0.0341896178162306,4.169716095873848,2.3524415107090664,-0.0407873151343958,4.169716095873848,2.1274477847224884,-0.0426944559726196,4.169716095873848,3.2322212415857527,-1.7940246344952184,4.169716095873848,3.075272188070667,-0.3113243616437176,4.169716095873848,0.1501133786848072,0.1001200480192077
cremad,42,5,2.0,0.7,0.1,35,1277.5,0.5406868649433274,0.5380664477776901,0.5380952380952381,0.3870396141654577,-0.0555852813242347,4.169716095873848,0.3306351111497481,-0.0313403862607746,4.169716095873848,1.8590277602729663,-0.0489075240113798,4.169716095873848,1.6504627628950763,-0.0412887214378638,4.169716095873848,2.939997652524304,-1.6956768098309611,4.169716095873848,2.841480080793506,-0.3205240294433489,4.169716095873848,0.1437641723356008,0.0933973589435774
cremad,42,5,4.0,1.4,0.2,38,1277.8,0.5391364773464282,0.536486259327115,0.536734693877551,0.2694713945400835,-0.0527126529221524,4.169716095873848,0.2537487906962128,-0.0370872402897557,4.169716095873848,1.8816702734940307,-0.0488680749628374,4.169716095873848,1.7133556916675046,-0.0328557856580848,4.169716095873848,2.9991166061460586,-1.6938422752441875,4.169716095873848,2.868222921645229,-0.2673399583709832,4.169716095873848,0.1356009070294784,0.0847539015606242
cremad,42,5,8.0,2.8,0.4,36,1275.1,0.4889990425893326,0.4764226212186482,0.4863945578231292,0.2433310088853537,-0.0461069848344077,4.169716095873848,0.2828514110781324,-0.0581977932864541,4.169716095873848,1.650246476248543,-0.045679595183194,4.169716095873848,1.3928460843321249,-0.0364909095392631,4.169716095873848,2.793118111603632,-1.72728020671126,4.169716095873848,2.59355397742537,-0.2528601723758461,4.169716095873848,0.1319727891156462,0.0809123649459784
cremad,42,5,16.0,5.6,0.8,4,453.5,0.3863955032582846,0.3075414410320186,0.3843537414965986,0.1851429046213217,-0.0391298547146572,4.169716095873848,0.1009317655436063,-0.0342164064640639,4.169716095873848,0.3192396014352261,-0.0454450177196639,4.169716095873848,0.2919466931150447,-0.0480910264707512,4.169716095873848,2.26762999354821,-0.43255309035849,4.169716095873848,1.7398523620308888,-0.1665839068152719,4.169716095873848,0.1156462585034013,0.063625450180072
cremad,43,1,0.0,0.0,0.0,36,1275.7,0.5679012345679012,0.5600376785427207,0.5643631436314364,0.3719411311070306,-0.0492022534230205,4.169925001442313,0.2967103044831036,-0.0393704532670771,4.169925001442313,2.1864678449243904,-0.059011095305073,4.169925001442313,2.075559839852901,-0.0354571436355231,4.169925001442313,3.016932865813866,-1.6557355881024538,4.169925001442313,2.881760749835453,-0.3005776339576469,4.169925001442313,0.1453724604966139,0.0951002522905324
cremad,43,1,0.5,0.175,0.025,27,1181.2,0.5496031746031745,0.5369809871784165,0.5460704607046071,0.4048643681355868,-0.0462194693476538,4.169925001442313,0.2721416296673293,-0.0388720531446793,4.169925001442313,2.202545206942164,-0.0546657580884879,4.169925001442313,2.187128836205689,-0.0412012969987509,4.169925001442313,2.934533281552816,-1.393314165171471,4.169925001442313,2.7955157583523995,-0.5250908756569963,4.169925001442313,0.1453724604966139,0.0951002522905324
cremad,43,1,1.0,0.35,0.05,21,985.8,0.5504850088183422,0.5390864943510429,0.5467479674796748,0.336363779236053,-0.0405358853494757,4.169925001442313,0.3135052256576354,-0.0313164942637573,4.169925001442313,2.0114054764335263,-0.0490921102208652,4.169925001442313,1.9628391388984587,-0.027643401648576,4.169925001442313,2.881861284245972,-1.3953478687099494,4.169925001442313,2.8025481633129408,-0.2471532641667,4.169925001442313,0.1584650112866817,0.1089629531270747
