dataset,seed,fold,kappa,lambda_aff_spk_adv,lambda_orth,best_epoch,train_seconds,test_uar,test_macro_f1,test_acc,c_aff_rep_linear_mi_lb_bits,c_aff_rep_linear_control_bits,c_aff_rep_linear_entropy_bits,c_aff_rep_mlp_mi_lb_bits,c_aff_rep_mlp_control_bits,c_aff_rep_mlp_entropy_bits,c_style_rep_linear_mi_lb_bits,c_style_rep_linear_control_bits,c_style_rep_linear_entropy_bits,c_style_rep_mlp_mi_lb_bits,c_style_rep_mlp_control_bits,c_style_rep_mlp_entropy_bits,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits,h_mlp_mi_lb_bits,h_mlp_control_bits,h_mlp_entropy_bits,c_aff_probe_acc,c_aff_leakage_index,input_cmn
iemocap,42,5,2.0,0.7,0.1,8,279.4,0.5505650224932225,0.5207050456069112,0.5093457943925234,0.4555070148977408,-0.008479425585023,0.9998765061155545,0.5041116569132673,-0.0117505644489005,0.9998765061155545,0.8023595293032564,-0.0040866121648602,0.9998765061155545,0.4959889681713516,-0.0046174295250894,0.9998765061155545,0.907413711328287,-0.079605713563387,0.9998765061155545,0.8473604296846331,-0.0482109549463015,0.9998765061155545,0.7208722741433021,0.4417445482866042,
iemocap,42,5,4.0,1.4,0.2,21,475.7,0.5216829688749222,0.5205720921639809,0.5121495327102804,0.1666186229539007,-0.0065585978915035,0.9998765061155545,0.2618267372065277,-0.006507382219225,0.9998765061155545,0.8812106762550361,-0.0078137710773064,0.9998765061155545,0.6052791145071512,-0.0042157098773728,0.9998765061155545,0.9301591815716084,-0.1663449839982701,0.9998765061155545,0.9133608865565492,-0.0489136664739405,0.9998765061155545,0.7233644859813084,0.4467289719626168,
iemocap,42,5,8.0,2.8,0.4,22,490.8,0.5532785061703573,0.522693370063061,0.514018691588785,0.2622122006297972,-0.0025922519327971,0.9998765061155545,0.4038930757008105,-0.0042660117550824,0.9998765061155545,0.8337692563732456,-0.0036661671690118,0.9998765061155545,0.603423903161038,-0.0035762379452749,0.9998765061155545,0.9294644451807924,-0.1103897296274371,0.9998765061155545,0.8621881089303164,-0.052090065822682,0.9998765061155545,0.7345794392523365,0.4691588785046729,
iemocap,42,5,16.0,5.6,0.8,40,614.7,0.5196030169966082,0.5037706015838808,0.4897196261682243,0.2135939537150253,-0.0029747924776036,0.9998765061155545,0.2319620035886088,-0.0039711700330798,0.9998765061155545,0.6715976786229209,-0.0065882855154667,0.9998765061155545,0.5771299338557152,-0.0061823098075642,0.9998765061155545,0.8523348544606428,-0.1408374913470801,0.9998765061155545,0.8132709024061077,-0.0450315415091672,0.9998765061155545,0.7302180685358255,0.460436137071651,
iemocap,43,1,0.0,0.0,0.0,12,321.7,0.5193678392474164,0.501503171425788,0.4796819787985866,0.1147082894106598,-0.0040203228496664,0.9836697149306288,0.1277293756462342,-0.0051359211269738,0.9836697149306288,0.7476612343766239,0.0006072547927008,0.9836697149306288,0.4260124053839322,-0.0022953845797715,0.9836697149306288,0.8516582492594651,-0.09783048557694,0.9836697149306288,0.7517056307160441,-0.0527928266605663,0.9836697149306288,0.63,0.26,
iemocap,43,1,0.5,0.175,0.025,26,537.6,0.5276453257407991,0.516827545500276,0.4946996466431095,0.3083019082069356,-0.0019389918783047,0.9836697149306288,0.4051805003573493,-0.0047472553755693,0.9836697149306288,0.8072146056597375,-0.0031064739686514,0.9836697149306288,0.6543430696450527,-0.0005198556982631,0.9836697149306288,0.8967300160463628,-0.1317984810623651,0.9836697149306288,0.8000153837962843,-0.052495472742182,0.9836697149306288,0.6823529411764705,0.364705882352941,
iemocap,43,1,1.0,0.35,0.05,22,476.7,0.5240452513539138,0.5094520460953511,0.4858657243816254,0.2229806094782563,-0.001514148828545,0.9836697149306288,0.312367168313283,-0.0092807414008089,0.9836697149306288,0.7916785147006656,-0.0014841780563665,0.9836697149306288,0.6458143953614558,-0.0018340834901001,0.9836697149306288,0.8865138076246439,-0.1294100173684018,0.9836697149306288,0.827482730693897,-0.0501773669354379,0.9836697149306288,0.6623529411764706,0.3247058823529412,
iemocap,43,1,2.0,0.7,0.1,22,476.8,0.521504548637936,0.4924113327282745,0.4717314487632509,0.0277649490940059,0.0028286240304515,0.9836697149306288,0.0741922177147348,-0.0075497617919982,0.9836697149306288,0.8018148467296582,0.0073319376681267,0.9836697149306288,0.4671598159237559,0.0062956810439896,0.9836697149306288,0.893054618570422,-0.1221191593180137,0.9836697149306288,0.788237357300527,-0.060851019736837,0.9836697149306288,0.5729411764705882,0.1458823529411763,
iemocap,43,1,4.0,1.4,0.2,30,599.1,0.5333794752852972,0.5108189991432914,0.4867491166077738,0.1407064062626351,-0.0062418774395529,0.9836697149306288,0.1463975639211797,-0.0079563180641131,0.9836697149306288,0.770849734787014,0.0012156785917352,0.9836697149306288,0.6536093700966951,-0.0049301327036175,0.9836697149306288,0.8776766506791656,-0.1452396133559215,0.9836697149306288,0.8462011625713872,-0.0403514448698172,0.9836697149306288,0.6347058823529411,0.2694117647058822,
iemocap,43,1,8.0,2.8,0.4,30,601.1,0.5369458172232068,0.5246126221124751,0.5008833922261484,0.0873999604860247,-0.0078122509317249,0.9836697149306288,0.177171447330151,-0.0059221516145653,0.9836697149306288,0.5601758589294337,-0.00576520450095,0.9836697149306288,0.3432875276041656,-0.0015031817295932,0.9836697149306288,0.85834537727435,-0.1328669700091418,0.9836697149306288,0.7846754851567792,-0.0351474323866598,0.9836697149306288,0.6447058823529411,0.2894117647058822,
iemocap,43,1,16.0,5.6,0.8,11,311.4,0.5288743034921182,0.488030068136809,0.4708480565371025,0.0165870624894723,-0.0039781477764874,0.9836697149306288,0.0144577122928305,-0.0027271413348206,0.9836697149306288,0.042189907438058,-0.005415679409811,0.9836697149306288,0.100760884584056,-0.0067314184888706,0.9836697149306288,0.6210379976766587,-0.0447547844141622,0.9836697149306288,0.3897441840938214,-0.0448826354281397,0.9836697149306288,0.5417647058823529,0.0835294117647058,
