dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
cremad,leace_trans,42,2,40,93.1,0.582505844715147,0.5810210008379557,-1.0304278388318204,-1.2953119342194643,4.1699193444441836
cremad,leace_trans,42,3,33,90.4,0.5094899716992739,0.5058066414450461,0.07626377362708325,-1.3480199641283708,4.1699193444441836
cremad,leace_trans,42,4,31,88.3,0.6052505139894521,0.6086421339801352,-0.9769692394762872,-1.3298145273569215,4.247550686408009
cremad,leace_trans,42,5,37,70.7,0.5178788721084654,0.5155374031101936,-0.6236906445800612,-1.511793092330345,4.169716095873848
cremad,leace_trans,43,1,32,90.1,0.5519179894179894,0.5479042640745336,0.4551130275289008,-1.4885265701220902,4.169925001442313
cremad,leace_trans,43,2,39,80.4,0.5713332102866987,0.5700178750113047,0.9639189308620781,-1.6191487952249908,4.1699193444441836
cremad,leace_trans,43,3,38,85.0,0.5388827365571552,0.5378405477871198,-0.9471205683341557,-1.4790523109428975,4.1699193444441836
cremad,leace_trans,43,4,28,56.7,0.6045130508626083,0.6046771188255553,-1.1264495346459373,-1.4950776429599149,4.247550686408009
cremad,leace_trans,43,5,38,81.3,0.5195404428796442,0.5175336892200411,-1.7304963421911523,-1.4902633834216612,4.169716095873848
cremad,leace_trans,44,1,27,83.6,0.5052910052910052,0.510775033256169,0.6676869607895184,-1.4821724085538772,4.169925001442313
cremad,leace_trans,44,2,31,79.3,0.5791066814322628,0.5751858704989004,0.6306763329286067,-1.5703225662209075,4.1699193444441836
cremad,leace_trans,44,3,24,77.1,0.4964685615848406,0.4882231470052744,0.6485776821879887,-1.6563920699965982,4.1699193444441836
cremad,leace_trans,44,4,22,61.6,0.5843166175024582,0.5804675976962207,-0.3170637297177832,-1.5909730338269483,4.247550686408009
cremad,leace_trans,44,5,29,80.3,0.538463201457735,0.5406843435516944,-0.45015242144187084,-1.2364998321998222,4.169716095873848
cremad,plain,42,1,31,63.3,0.576168430335097,0.5694870536413336,1.1196069084565226,-1.1787502633942708,4.169925001442313
cremad,plain,42,2,40,83.5,0.6362556909068537,0.6324660946443244,1.0307671534579397,-1.0798949975829322,4.1699193444441836
cremad,plain,42,3,33,78.8,0.5736372585209795,0.571638523512706,1.3051561250863637,-1.0870640563448477,4.1699193444441836
cremad,plain,42,4,31,75.2,0.6202176633592562,0.618591899538716,1.1723350946487905,-1.2159929266211877,4.247550686408009
cremad,plain,42,5,37,58.7,0.5581704190987986,0.5553398089258685,1.3843153548708913,-1.3045277356844203,4.169716095873848
cremad,plain,43,1,32,72.4,0.5788139329805997,0.5697209998263282,1.1715169913189216,-1.2058092287300939,4.169925001442313
cremad,plain,43,2,39,66.5,0.6440783807062876,0.64051701848338,0.8939590570628182,-1.2418773621691415,4.1699193444441836
cremad,plain,43,3,38,72.0,0.5890765350067676,0.5881222577940655,1.2858108970743292,-1.2292268390039593,4.1699193444441836
cremad,plain,43,4,28,44.4,0.6197874765352641,0.6170912485203889,0.9970854131741023,-1.3370658960027084,4.247550686408009
cremad,plain,43,5,38,64.3,0.5547391828036691,0.5524389039983829,1.2854180289181794,-1.2997846893183835,4.169716095873848
cremad,plain,44,1,27,68.3,0.57418430335097,0.5715849577835125,0.8797511359419556,-1.1908299049167876,4.169925001442313
cremad,plain,44,2,31,67.1,0.6399040236249538,0.6353398217040103,0.9641544082024667,-1.2395066720810126,4.1699193444441836
cremad,plain,44,3,24,64.2,0.5776055124892334,0.5747919784974088,1.3182608291265212,-1.3424309813430844,4.1699193444441836
cremad,plain,44,4,22,50.3,0.6076025744167336,0.5999939897405335,1.0180116951547378,-1.3680131641611881,4.247550686408009
cremad,plain,44,5,29,68.5,0.552855245683931,0.5507157814231236,1.522897659246913,-1.106737623928053,4.169716095873848
cremad,subtract,42,1,31,71.1,0.6098985890652556,0.6001820417411955,-2.346466903833284,-1.221979715849712,4.169925001442313
cremad,subtract,42,2,40,88.7,0.6722622123784915,0.6658675210451793,-2.353074097874794,-1.161684347866231,4.1699193444441836
cremad,subtract,42,3,33,85.2,0.6189891718961485,0.6098786778940889,-2.4054481969673347,-1.1195694882603746,4.1699193444441836
cremad,subtract,42,4,31,82.1,0.6485373647984267,0.6402413255868796,-2.728742394684784,-1.2743832133627704,4.247550686408009
cremad,subtract,42,5,37,64.7,0.6044535038142006,0.5958115422779561,-2.561608781594133,-1.3364398921378484,4.169716095873848
cremad,subtract,43,1,32,81.9,0.6256613756613757,0.6165826834842153,-2.3252389639569904,-1.2628194323115611,4.169925001442313
cremad,subtract,43,2,39,74.4,0.6797434477667036,0.6732092262268488,-2.501546254442398,-1.266856808561446,4.1699193444441836
cremad,subtract,43,3,38,79.1,0.622160698904885,0.6166972913265504,-2.596546130632369,-1.2748151136458894,4.1699193444441836
cremad,subtract,43,4,28,50.4,0.6482245016537052,0.6405073109523621,-2.693790853669104,-1.3758858630736768,4.247550686408009
