dataset,variant,seed,fold,best_epoch,train_seconds,test_uar,test_macro_f1,h_linear_mi_lb_bits,h_linear_control_bits,h_linear_entropy_bits
iemocap,subtract,43,1,18,51.1,0.5739655610196215,0.5147443409097662,-0.09967393879119468,-0.23115802881603886,0.9836697149306288
iemocap,subtract,43,2,11,46.5,0.5492050358350119,0.5172347521094356,0.18020538683035425,-0.11157858767797613,0.9910444329385492
iemocap,subtract,43,3,22,72.6,0.5729918820660156,0.5536066996364187,-0.01258966759663016,-0.14296873192547754,0.9973008701007469
iemocap,subtract,43,4,15,54.5,0.5984341472990518,0.5617783381988074,-0.05980918224156728,-0.16935907569444464,0.9994846138022001
iemocap,subtract,43,5,10,59.6,0.5762629190308373,0.5328001536063305,0.12322475850103598,-0.15346381609712434,0.9998765061155545
iemocap,subtract,44,1,12,60.6,0.5724164314688005,0.5051282609644379,0.15794108777340832,-0.15306571303120764,0.9836697149306288
iemocap,subtract,44,2,18,60.6,0.5605530565956762,0.5109594803279995,0.40302360163204765,-0.12837656835744304,0.9910444329385492
iemocap,subtract,44,3,26,77.0,0.528335368796367,0.47102050595565054,0.09727675641552302,-0.18115147315123958,0.9973008701007469
iemocap,subtract,44,4,32,67.0,0.593680117553416,0.5414901183992424,-0.0580229202481678,-0.20569079608021024,0.9994846138022001
iemocap,subtract,44,5,25,68.1,0.5872952031524318,0.5254280793876682,-0.3502294302718928,-0.1709760549570981,0.9998765061155545
ravdess,inlp_trans,42,1,17,23.8,0.48750000000000004,0.4717701129685157,-0.10866631237345814,-0.18719019540985204,2.3219280948873626
ravdess,inlp_trans,42,2,23,25.7,0.4125,0.39440259992542653,-0.25140895877352865,-0.25452732384460264,2.3219280948873626
ravdess,inlp_trans,42,3,21,21.4,0.5,0.4696987580945209,-0.22297555647346723,-0.3782528984925664,2.3219280948873626
ravdess,inlp_trans,42,4,22,21.1,0.40625,0.37632822956613277,-0.42029328529267707,-0.28435710896032074,2.3219280948873626
ravdess,inlp_trans,42,5,36,18.3,0.48046875,0.4662914730996225,-0.5671822716170096,-0.30347191319350264,2.0
